start_i,center_i,ms,goertzel_x1000
2628,2692.0,168.25,157.17880093366787
2632,2696.0,168.5,629.5697960779313
2636,2700.0,168.75,128.49414892292387
2640,2704.0,169.0,178.40726516272582
2644,2708.0,169.25,760.3450250023236
2648,2712.0,169.5,216.2447806427181
2652,2716.0,169.75,558.2027744208754
2656,2720.0,170.0,150.63873652089003
2660,2724.0,170.25,183.78066910358618
2664,2728.0,170.5,587.4912477808307
2668,2732.0,170.75,174.6196296590049
2672,2736.0,171.0,606.5307085392319
2676,2740.0,171.25,155.38709006180068
2680,2744.0,171.5,119.05526605392836
2684,2748.0,171.75,591.338979749466
2688,2752.0,172.0,132.4667375311603
2692,2756.0,172.25,911.7083833527088
2696,2760.0,172.5,716.8337499484751
2700,2764.0,172.75,835.4350470723836
2704,2768.0,173.0,432.336234589639
2708,2772.0,173.25,296.2555124240172
2712,2776.0,173.5,962.4732218808786
2716,2780.0,173.75,761.103251712502
2720,2784.0,174.0,788.451563326099
2724,2788.0,174.25,368.41201201828295
2728,2792.0,174.5,284.82149006322595
2732,2796.0,174.75,974.2415628378718
2736,2800.0,175.0,825.2203909447488
2740,2804.0,175.25,868.5660358184793
2744,2808.0,175.5,441.3756487443586
2748,2812.0,175.75,344.7932460065358
2752,2816.0,176.0,1110.1813314288427
2756,2820.0,176.25,926.9343394195083
2760,2824.0,176.5,989.1259040865449
2764,2828.0,176.75,528.7032042007455
2768,2832.0,177.0,397.08244568426625
2772,2836.0,177.25,1132.0102653660247
2776,2840.0,177.5,992.9467908169757
2780,2844.0,177.75,1021.4644142144848
2784,2848.0,178.0,471.5382963262319
2788,2852.0,178.25,371.7080945374247
2792,2856.0,178.5,1093.7830813550438
